company_name,ratings,reviews,Industry,locations,highly_rated_aspects,critically_rated_aspects
Ensure Support Services,4.3,217,IT Services & Consulting,Chennai +46 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",
Shivam Infocom,4.3,217,Telecom,New Delhi +29 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
XenonStack,3.3,218,Emerging Technologies,Mohali +9 other locations,,"Company Culture, Work Life Balance, Work Satisfaction"
Changepond Technologies,2.9,217,IT Services & Consulting,Chennai +4 other locations,,"Company Culture, Promotions / Appraisal, Salary & Benefits"
Blazeclan Technologies,3.6,217,IT Services & Consulting,Pune +8 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
ONLEI Technologies,4.9,217,,Noida +21 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
Zones Corporate Solutions,3.0,217,IT Services & Consulting,Bangalore / Bengaluru +7 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
HEG,3.7,217,Semiconductors,Bhopal +11 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Man Industries,3.5,217,Iron & Steel,Mumbai +15 other locations,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Kserve Bpo,4.5,217,BPO,Mumbai +5 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",
Software AG,4.3,217,Software Product,Bangalore / Bengaluru +15 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
King George's Medical University,4.1,217,Education & Training,Lucknow +14 other locations,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
Merkle,3.4,217,,Mumbai +11 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Patton International,3.7,217,Iron & Steel,Kolkata +4 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Shankaranarayana Constructions,3.9,217,Engineering & Construction,Bangalore / Bengaluru +20 other locations,Salary & Benefits,Work Life Balance
EFKON INDIA,3.7,216,IT Services & Consulting,Gurgaon / Gurugram +23 other locations,Salary & Benefits,"Company Culture, Work Satisfaction, Promotions / Appraisal"
Balasore Alloys,3.3,216,Metals & Mining,Balasore +15 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
Prithvi Innerwears Private Limited,4.8,216,Fashion & Textile,Tiruppur +23 other locations,"Company Culture, Work Life Balance, Job Security",
KFA Consultant,1.3,216,Dubai +2 other locations,,,"Company Culture, Work Life Balance, Work Satisfaction"
United India Insurance Company,4.5,216,Insurance,Chennai +80 other locations,"Work Life Balance, Job Security, Company Culture",
Kanoria Chemicals & Industries,3.9,216,Chemicals,Ankleshwar +16 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Pha India,4.0,216,Auto Components,Chennai +13 other locations,"Company Culture, Work Satisfaction, Job Security","Promotions / Appraisal, Salary & Benefits"
MKCL,3.6,217,Education & Training,Pune +27 other locations,"Job Security, Company Culture, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
Droom,3.3,216,Internet,Gurgaon / Gurugram +1 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Mvs Acmei Technologies,4.1,216,Industrial Machinery,Hyderabad / Secunderabad +36 other locations,"Job Security, Skill Development / Learning, Work Life Balance",
VRC Constructions India,3.8,216,Engineering & Construction,New Delhi +38 other locations,,Promotions / Appraisal
Numerator,4.0,216,Software Product,Vadodara +3 other locations,"Company Culture, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Skill Development / Learning"
Lubi Industries Llp,4.1,216,Industrial Machinery,Ahmedabad +35 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Adani Airport Holdings,3.1,216,Aviation,Ahmedabad +14 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
VisionTek,3.5,216,Telecom,Hyderabad / Secunderabad +28 other locations,,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
S&IB Services,4.0,217,Facility Management Services,Kolkata +36 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Albert David,3.5,216,Pharma,Kolkata +39 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Texas Instruments,3.9,216,Semiconductors,Bangalore / Bengaluru +9 other locations,"Salary & Benefits, Job Security, Skill Development / Learning",
ICPA Health Products,3.3,216,Healthcare,Mumbai +36 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Aditya Birla Money,3.9,216,,Chennai +43 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Credgenics,3.9,216,FinTech,Noida +6 other locations,"Company Culture, Work Life Balance, Job Security",
EY-Parthenon,2.9,216,,Bangalore / Bengaluru +13 other locations,,"Work Life Balance, Company Culture, Work Satisfaction"
Pattern Technologies,4.4,216,IT Services & Consulting,Pune +1 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Fragomen Immigration Services,3.6,216,Travel & Tourism,Kochi +11 other locations,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Akbar Travels,3.4,216,Travel & Tourism,Mumbai +32 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Forvia,3.4,216,Auto Components,Pune +13 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Techahead Software,4.1,216,IT Services & Consulting,Noida +7 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",
Sanghvi Movers,4.3,216,Industrial Machinery,Pune +27 other locations,"Work Life Balance, Work Satisfaction, Skill Development / Learning",
Bharathi Cement,4.0,216,Building Material,Kadapa +34 other locations,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal
20Cube Logistics,3.7,216,Logistics,Chennai +30 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
South Eastern Coalfields,4.3,215,Metals & Mining,Bilaspur +30 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
Garden Silk Mills,3.6,215,Fashion & Textile,Surat +11 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Algoworks Technologies,3.3,215,IT Services & Consulting,Noida +5 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Shri Mahavir Ferro Alloys,3.4,220,Iron & Steel,Rourkela +7 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Valenta AI Private Limited,4.4,215,Emerging Technologies,Bangalore / Bengaluru +12 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Steril Gene Life Sciences,3.8,215,Pharma,Pondicherry / Puducherry +10 other locations,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
Lifelong India,4.0,216,Petrochemicals,Gurgaon / Gurugram +8 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
Jagsonpal Pharmaceuticals,3.5,215,Pharma,New Delhi +46 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
PIT Solutions,4.1,216,IT Services & Consulting,Thiruvananthapuram +3 other locations,"Work Life Balance, Company Culture, Job Security",Salary & Benefits
Q3 Technologies,3.4,215,IT Services & Consulting,Gurgaon / Gurugram +10 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Sedin Technologies,4.4,215,IT Services & Consulting,Chennai +5 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",
Shri Mahavir Ferro Alloys,3.4,220,Iron & Steel,Rourkela +7 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
RSH Global,4.1,215,FMCG,Kolkata +48 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Dr Mohan's Diabetes Specialities Centre,3.6,215,Healthcare,Chennai +36 other locations,Work Life Balance,Promotions / Appraisal
Sun Vacuum Formers,3.9,215,Auto Components,Gurgaon / Gurugram +9 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Company Culture"
Flyhomes,4.3,215,Internet,Noida +9 other locations,"Company Culture, Salary & Benefits, Work Life Balance",
Epicor Software Corporation,3.2,215,IT Services & Consulting,Bangalore / Bengaluru +4 other locations,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
SRR Projects,4.0,215,Engineering & Construction,Hyderabad / Secunderabad +21 other locations,"Company Culture, Salary & Benefits, Job Security",Promotions / Appraisal
Kroll,3.4,215,Financial Services,Mumbai +7 other locations,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Little Millennium,3.8,215,EdTech,Bangalore / Bengaluru +42 other locations,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
Tide - Business Management Platform,3.7,215,FinTech,Hyderabad / Secunderabad +12 other locations,"Salary & Benefits, Work Life Balance","Promotions / Appraisal, Job Security"
Vensa Infrastructure,4.2,215,Real Estate,Hyderabad / Secunderabad +24 other locations,"Job Security, Salary & Benefits, Company Culture",
Mayur Uniquoters,4.0,215,Leather,Jaipur +12 other locations,Work Life Balance,Promotions / Appraisal
Prime Focus,3.8,214,Animation & VFX,Mumbai +11 other locations,,"Promotions / Appraisal, Salary & Benefits"
Indo Nissin Foods,4.1,214,Food Processing,Bangalore / Bengaluru +41 other locations,"Work Life Balance, Work Satisfaction, Company Culture",Promotions / Appraisal
Blue Cross Laboratories,3.8,214,Pharma,Mumbai +55 other locations,,"Promotions / Appraisal, Salary & Benefits"
The Co-operative Bank,3.8,214,Banking,Bangalore / Bengaluru +104 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
STMicroelectronics,4.1,214,Semiconductors,Noida +7 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Mitsui O.S.K. Lines,4.0,214,Ports & Shipping,Mumbai +16 other locations,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal
Galaxy Weblinks,3.8,214,IT Services & Consulting,Indore +8 other locations,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Rustomjee Group,3.9,214,Real Estate,Mumbai +5 other locations,"Job Security, Salary & Benefits",Promotions / Appraisal
Indo Rama Synthetics (i),3.6,214,Fashion & Textile,Nagpur +10 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Ts Tech Sun India,4.1,214,Automobile,Neemrana +12 other locations,"Work Life Balance, Salary & Benefits, Company Culture",
Nordex India,3.8,214,Internet,Chennai +16 other locations,Work Life Balance,Promotions / Appraisal
Hippo Homes,3.5,215,Retail,New Delhi +15 other locations,,"Job Security, Work Satisfaction, Promotions / Appraisal"
Bioseed,4.1,214,,Hyderabad / Secunderabad +58 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
Netaxis IT Solutions,3.9,214,IT Services & Consulting,Chennai +3 other locations,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction",
RAXA,4.3,214,Law Enforcement & Security,New Delhi +26 other locations,"Job Security, Skill Development / Learning, Company Culture",
UPS Supply Chain Solutions,3.7,214,Logistics,Pune +15 other locations,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Uni Cards,3.8,214,FinTech,Bangalore / Bengaluru +8 other locations,"Salary & Benefits, Company Culture, Work Life Balance",Job Security
Pothys,4.1,214,Fashion & Textile,Chennai +17 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Cleartrip,3.4,214,Internet,Bangalore / Bengaluru +11 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Sankey Solutions,3.9,214,IT Services & Consulting,Mumbai +6 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",
ZeMoSo Technologies,3.4,214,IT Services & Consulting,Hyderabad / Secunderabad +5 other locations,Skill Development / Learning,"Job Security, Promotions / Appraisal, Company Culture"
Reliance Smart Bazaar,4.0,215,Retail,New Delhi +96 other locations,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
SGB By BrandSafway,3.9,214,Engineering & Construction,Hyderabad / Secunderabad +32 other locations,"Work Life Balance, Salary & Benefits",
ExcelSoft Technologies,3.4,214,IT Services & Consulting,Mysuru / Mysore +4 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Marquardt,3.6,214,Auto Components,Pune +5 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Fernandez Hospital,4.4,213,Healthcare,Hyderabad / Secunderabad +1 other locations,"Company Culture, Work Life Balance, Job Security",
Neogen Chemicals,3.9,213,Chemicals,Bharuch +8 other locations,"Job Security, Salary & Benefits",
Matix Fertilisers & Chemicals,3.7,213,Agro Chemicals,Durgapur +15 other locations,,"Company Culture, Work Satisfaction, Job Security"
Stratosphere IT Services,3.3,213,Recruitment,Hyderabad / Secunderabad +18 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
SAVA Healthcare,3.7,213,Pharma,Pune +17 other locations,,"Promotions / Appraisal, Salary & Benefits"
Synthite Industries,4.1,213,Food Processing,Kochi +17 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
BridgeLabz Solutions,3.4,213,EdTech,Mumbai +9 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Sarda Energy & Minerals,4.0,213,Iron & Steel,Raipur +10 other locations,"Job Security, Company Culture, Work Life Balance",
Echs Polyclinic,4.2,213,Healthcare,New Delhi +103 other locations,"Work Life Balance, Work Satisfaction, Company Culture","Job Security, Promotions / Appraisal"
Bo International,4.1,219,Beauty & Personal Care,New Delhi +4 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Ananth Technologies,3.9,212,Electronics Manufacturing,Hyderabad / Secunderabad +11 other locations,"Job Security, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
Sewa Grih Rin,3.4,212,NBFC,New Delhi +55 other locations,,"Company Culture, Job Security, Promotions / Appraisal"
Moople Academy,4.1,212,Education & Training,Kolkata +11 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",
Appsierra,4.4,212,IT Services & Consulting,Noida +16 other locations,"Company Culture, Promotions / Appraisal, Skill Development / Learning",
InMobi,3.2,212,Marketing & Advertising,Bangalore / Bengaluru +9 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
TPI Composites,4.3,212,Industrial Machinery,Chennai +10 other locations,"Company Culture, Work Satisfaction, Skill Development / Learning",
Flex Technologies,4.0,212,,Chennai +10 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
U R Rao Satellite Centre,4.2,212,,Bangalore / Bengaluru +17 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
All India Radio,4.3,212,Government,New Delhi +81 other locations,"Work Life Balance, Work Satisfaction, Company Culture",Promotions / Appraisal
SIAC SKH India Cabs Manufacturing,3.8,212,Industrial Machinery,Faridabad +9 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning"
Government Medical College,4.0,212,Education & Training,Srinagar +64 other locations,"Skill Development / Learning, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
TPI Composites,4.3,212,Industrial Machinery,Chennai +10 other locations,"Company Culture, Work Satisfaction, Skill Development / Learning",
Forest Essentials,4.0,212,Retail,New Delhi +42 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Flex Technologies,4.0,212,,Chennai +10 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Zota Health Care,3.6,212,Pharma,Surat +54 other locations,,Promotions / Appraisal
WeRize,3.2,215,Financial Services,Bangalore / Bengaluru +19 other locations,,"Company Culture, Work Life Balance, Work Satisfaction"
WovVTech,4.1,211,Software Product,Vadodara +11 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Metro Brands,3.8,212,Fashion & Textile,Mumbai +38 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
SkillVertex,3.3,212,EdTech,Bangalore / Bengaluru +11 other locations,,"Job Security, Promotions / Appraisal, Salary & Benefits"
Cube Highways,4.3,212,,Noida +49 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Colourtex,3.8,213,Chemicals,Surat +13 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
PrepLadder,2.9,212,EdTech,Chandigarh +16 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Cordlife Sciences India,3.6,212,Pharma,Kolkata +33 other locations,,"Promotions / Appraisal, Salary & Benefits"
Biostadt,4.2,212,,Mumbai +55 other locations,"Company Culture, Work Life Balance, Job Security",
Sterling Talent Solutions,3.7,211,Internet,Mumbai +3 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Absolute Barbecues,4.0,211,Hospitality,Hyderabad / Secunderabad +21 other locations,"Company Culture, Salary & Benefits, Work Life Balance",
Pradhan Mantri Kaushal Vikas Yojana,4.0,211,Education & Training,New Delhi +90 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",
Country Club India,3.4,211,Hospitality,Hyderabad / Secunderabad +27 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Axio,3.7,211,Financial Services,Bangalore / Bengaluru +25 other locations,Company Culture,"Promotions / Appraisal, Work Satisfaction, Job Security"
TLC DigiTech Private Limited,3.1,211,Hospitality,New Delhi +23 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Veolia,4.0,211,Waste Management,Bangalore / Bengaluru +43 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
EMCO,3.7,211,Power,Mumbai +25 other locations,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Information Services Group,3.8,211,IT Services & Consulting,Bangalore / Bengaluru +9 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Furlenco,3.3,211,Internet,Bangalore / Bengaluru +15 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
Copart,3.0,211,Automobile,Hyderabad / Secunderabad +6 other locations,,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
Savita Oil Technologies,4.2,211,Oil & Gas,Mumbai +28 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Enser Communications,2.8,211,IT Services & Consulting,Gurgaon / Gurugram +14 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Vishnu Chemicals,4.0,211,Chemicals,Visakhapatnam +13 other locations,"Job Security, Work Life Balance",
Knest Manufacturers,3.4,211,Metals & Mining,Pune +13 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Unthinkable Solutions,2.7,211,IT Services & Consulting,Gurgaon / Gurugram +3 other locations,,"Company Culture, Work Life Balance, Work Satisfaction"
International Certification Services,3.3,211,Other,Mumbai +34 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Bombay Dyeing,3.8,211,Fashion & Textile,Mumbai +22 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
KNR Constructions,4.1,211,Engineering & Construction,Hyderabad / Secunderabad +41 other locations,"Work Life Balance, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal
Yashi Consulting Services,3.2,211,IT Services & Consulting,Gurgaon / Gurugram +21 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
Ashok Iron Works,3.4,211,Belgaum +7 other locations,,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
City Montessori School,3.5,211,Education & Training,Lucknow +8 other locations,"Salary & Benefits, Skill Development / Learning","Work Life Balance, Job Security, Company Culture"
Square Bpo Services,3.2,211,BPO,Hyderabad / Secunderabad +6 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
OPG Mobility,3.2,211,,New Delhi +32 other locations,,"Company Culture, Job Security, Promotions / Appraisal"
Zeelab Pharmacy,3.8,211,Pharma,New Delhi +27 other locations,,Promotions / Appraisal
Ncc Urban Infrastructure,4.1,211,Engineering & Construction,Hyderabad / Secunderabad +24 other locations,"Work Life Balance, Job Security, Work Satisfaction",
Rapid Care Transcription,4.5,211,Analytics & KPO,Chennai +3 other locations,"Company Culture, Work Life Balance, Job Security",
John Crane Sealing Systems India,3.5,211,Industrial Machinery,Bangalore / Bengaluru +6 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Kalyani Forge,3.8,211,Iron & Steel,Pune +6 other locations,,"Company Culture, Job Security"
VISTRA INTERNATIONAL EXPANSION,3.3,211,Other,Mumbai +6 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
EagleBurgmann,4.2,211,Industrial Machinery,Pune +19 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Tata CLiQ,3.0,211,Internet,Mumbai +9 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
GENWORKS Health,3.3,210,Healthcare,Bangalore / Bengaluru +40 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
MeritNation,3.2,210,EdTech,New Delhi +20 other locations,,"Job Security, Work Satisfaction, Promotions / Appraisal"
Grass Roots Research & Creation,4.7,210,Analytics & KPO,New Delhi +14 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",
Jagran Prakashan,3.7,210,Printing & Publishing,New Delhi +51 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Koye Pharmaceuticals,3.1,210,Pharma,Mumbai +43 other locations,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Al Ahleia Switchgear,3.5,210,Industrial Machinery,Chennai +12 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Weatherford,3.6,210,Oil & Gas,Mumbai +21 other locations,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Jyoti Structures,4.0,210,Power,Mumbai +43 other locations,"Salary & Benefits, Work Life Balance, Job Security",
IDMC,3.7,210,Industrial Machinery,Anand +14 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Helmerich & Payne,3.8,210,,Bangalore / Bengaluru +15 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Vedika Credit Capital,3.5,210,NBFC,Ranchi +50 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Zamil Air Conditioners,4.0,210,Consumer Electronics & Appliances,New Delhi +23 other locations,"Skill Development / Learning, Work Life Balance, Job Security",Promotions / Appraisal
Third wave Coffee Roasters,3.6,211,Internet,Bangalore / Bengaluru +10 other locations,,Promotions / Appraisal
Aia Engineering,4.0,210,Industrial Machinery,Ahmedabad +5 other locations,"Job Security, Salary & Benefits, Work Life Balance",
Rotostat Services,3.8,210,Industrial Machinery,Mumbai +30 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
Zivame.com,3.6,210,Fashion & Textile,Bangalore / Bengaluru +30 other locations,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
Root Industries,4.1,210,Auto Components,Coimbatore +17 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
ARB Bearings,3.6,210,Auto Components,New Delhi +20 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Fortis Memorial Research Institute,4.0,211,Clinical Research,Gurgaon / Gurugram +8 other locations,"Job Security, Skill Development / Learning, Company Culture",
Prakash Industries,3.8,210,Metals & Mining,Champa +37 other locations,"Job Security, Work Life Balance, Salary & Benefits",
SpeedLabs,3.6,210,EdTech,Mumbai +15 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Krishnapatnam Port,3.9,210,Ports & Shipping,Nellore +14 other locations,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
AGIO Pharmaceuticals,2.8,211,Pharma,Pune +9 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
Ishan Technologies,3.7,210,Internet,Ahmedabad +36 other locations,,Promotions / Appraisal
Scyo Decision Services,4.6,210,Analytics & KPO,Chennai +2 other locations,"Job Security, Work Life Balance, Company Culture",
Meditab Software,3.1,210,Software Product,Ahmedabad +2 other locations,,"Promotions / Appraisal, Company Culture, Work Life Balance"
Elsamex Maintenance Services,4.0,210,Facility Management Services,Ahmedabad +46 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
Tricon Infra Buildtech pvt.Ltd,2.9,210,Engineering & Construction,Pune +7 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Optimus Drugs,4.0,211,Pharma,Hyderabad / Secunderabad +6 other locations,"Work Life Balance, Salary & Benefits",
Torque Pharmaceuticals,3.8,210,Pharma,Chandigarh +33 other locations,,"Promotions / Appraisal, Salary & Benefits"
HOLITECH INDIA,4.0,209,Electronics Manufacturing,Greater Noida +12 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
Ziff Davis Performance Marketing,3.6,209,Marketing & Advertising,Pune +3 other locations,,"Job Security, Promotions / Appraisal"
Jm Frictech,3.3,209,Industrial Machinery,Chennai +9 other locations,,"Company Culture, Promotions / Appraisal, Work Satisfaction"
Ramky Group,4.3,209,Engineering & Construction,Hyderabad / Secunderabad +35 other locations,"Job Security, Work Life Balance, Company Culture",
Alp Consulting,3.4,209,Recruitment,Bangalore / Bengaluru +18 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
AARGEE STAFFING SERVICES,3.7,209,Recruitment,Mumbai +16 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Hindustan PowerProjects,3.7,209,Power,Anuppur +18 other locations,,"Company Culture, Promotions / Appraisal, Job Security"
Walter Bushnell,3.1,209,Pharma,Gurgaon / Gurugram +50 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Microlink Solutions,4.0,209,IT Services & Consulting,Ahmedabad +32 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Moreish Food,3.1,209,Food Processing,Kolkata +25 other locations,,"Company Culture, Job Security, Promotions / Appraisal"
Paramatrix Technologies,4.1,209,Software Product,Mumbai +4 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
Anri Solutions HR Services,4.0,209,Recruitment,New Delhi +6 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Gensol Engineering,3.7,209,Power,Ahmedabad +23 other locations,Salary & Benefits,Job Security
ContinuServe Softech India,3.3,209,BPO,Bangalore / Bengaluru +4 other locations,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Khanna Paper Mills,4.0,209,Pulp & Paper,Amritsar +14 other locations,"Salary & Benefits, Skill Development / Learning",
Genzeon (India) Private Limited,3.9,209,IT Services & Consulting,Hyderabad / Secunderabad +3 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",
Dunnhumby,3.8,209,Analytics & KPO,Gurgaon / Gurugram +5 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Cogent,3.2,209,IT Services & Consulting,Bangalore / Bengaluru +25 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Integrated Personnel Services Limited,4.0,209,Recruitment,Mumbai +34 other locations,"Work Life Balance, Work Satisfaction, Company Culture",Promotions / Appraisal
Geo Chem Laboratories,3.7,209,Industrial Machinery,Mumbai +21 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Manipal Business Solutions,3.6,209,,Gurgaon / Gurugram +56 other locations,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Ganit Inc,3.8,209,IT Services & Consulting,Chennai +7 other locations,"Skill Development / Learning, Work Satisfaction",
Sri Gopikrishna Infrastructure,3.9,208,Engineering & Construction,Hyderabad / Secunderabad +43 other locations,"Work Life Balance, Work Satisfaction, Company Culture",Promotions / Appraisal
Su-Kam Power Systems,3.4,208,Power,Gurgaon / Gurugram +44 other locations,,"Company Culture, Job Security, Work Satisfaction"
UGC Supply Chain Solutions,2.8,208,Logistics,Pune +22 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Biryani By Kilo,4.2,208,Hospitality,Gurgaon / Gurugram +29 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",
AWC Software,3.8,209,IT Services & Consulting,Noida +14 other locations,Work Life Balance,Promotions / Appraisal
